"Sorry, we couldn't process your payment. Please select another payment method.","Maaf, kami tidak dapat memproses pembayaran Anda. Silakan memilih metode pembayaran lainnya."
"Some of your ordered items are not available.", "Beberapa produk pesanan Anda tidak tersedia."
"Total Refund: %1", "Total Pengembalian Dana: %1"
"Your card will not be charged for these products.", "Beberapa produk pesanan Anda tidak tersedia.
Produk-produk ini tidak akan ditagihkan pada kartu Anda."
"Some products in your order are not available. Get a refund with a few easy steps.", "Beberapa produk
pesanan Anda tidak tersedia. Dapatkan refund dengan langkah mudah."
